decade,value,count
-3500,Male,
-3490,Male,
-3480,Male,
-3470,Male,
-3460,Male,
-3450,Male,
-3440,Male,
-3430,Male,
-3420,Male,
-3410,Male,
-3400,Male,
-3390,Male,
-3380,Male,
-3370,Male,
-3360,Male,
-3350,Male,1
-3340,Male,1
-3330,Male,1
-3320,Male,1
-3310,Male,1
-3300,Male,1
-3290,Male,1
-3280,Male,1
-3270,Male,1
-3260,Male,1
-3250,Male,
-3240,Male,
-3230,Male,
-3220,Male,
-3210,Male,
-3200,Male,2
-3190,Male,2
-3180,Male,2
-3170,Male,2
-3160,Male,2
-3150,Male,3
-3140,Male,3
-3130,Male,3
-3120,Male,3
-3110,Male,3
-3100,Male,5
-3090,Male,4
-3080,Male,4
-3070,Male,4
-3060,Male,4
-3050,Male,4
-3040,Male,4
-3030,Male,4
-3020,Male,4
-3010,Male,4
-3000,Male,9
-2990,Male,9
-2980,Male,9
-2970,Male,9
-2960,Male,9
-2950,Male,9
-2940,Male,9
-2930,Male,9
-2920,Male,9
-2910,Male,9
-2900,Male,9
-2890,Male,10
-2880,Male,11
-2870,Male,11
-2860,Male,11
-2850,Male,11
-2840,Male,11
-2830,Male,11
-2820,Male,11
-2810,Male,11
-2800,Male,11
-2790,Male,11
-2780,Male,11
-2770,Male,11
-2760,Male,11
-2750,Male,11
-2740,Male,11
-2730,Male,11
-2720,Male,11
-2710,Male,11
-2700,Male,11
-2690,Male,11
-2680,Male,11
-2670,Male,11
-2660,Male,11
-2650,Male,12
-2640,Male,12
-2630,Male,12
-2620,Male,12
-2610,Male,12
-2600,Male,13
-2590,Male,13
-2580,Male,13
-2570,Male,13
-2560,Male,13
-2550,Male,13
-2540,Male,13
-2530,Male,13
-2520,Male,14
-2510,Male,15
-2500,Male,16
-2490,Male,18
-2480,Male,18
-2470,Male,17
-2460,Male,17
-2450,Male,17
-2440,Male,17
-2430,Male,18
-2420,Male,18
-2410,Male,18
-2400,Male,18
-2390,Male,18
-2380,Male,18
-2370,Male,18
-2360,Male,19
-2350,Male,20
-2340,Male,20
-2330,Male,19
-2320,Male,19
-2310,Male,19
-2300,Male,19
-2290,Male,20
-2280,Male,20
-2270,Male,20
-2260,Male,20
-2250,Male,20
-2240,Male,20
-2230,Male,20
-2220,Male,21
-2210,Male,21
-2200,Male,21
-2190,Male,21
-2180,Male,21
