decade,value,count
-3500,Culture,
-3490,Culture,
-3480,Culture,
-3470,Culture,
-3460,Culture,
-3450,Culture,
-3440,Culture,
-3430,Culture,
-3420,Culture,
-3410,Culture,
-3400,Culture,
-3390,Culture,
-3380,Culture,
-3370,Culture,
-3360,Culture,
-3350,Culture,
-3340,Culture,
-3330,Culture,
-3320,Culture,
-3310,Culture,
-3300,Culture,
-3290,Culture,
-3280,Culture,
-3270,Culture,
-3260,Culture,
-3250,Culture,
-3240,Culture,
-3230,Culture,
-3220,Culture,
-3210,Culture,
-3200,Culture,
-3190,Culture,
-3180,Culture,
-3170,Culture,
-3160,Culture,
-3150,Culture,
-3140,Culture,
-3130,Culture,
-3120,Culture,
-3110,Culture,
-3100,Culture,
-3090,Culture,
-3080,Culture,
-3070,Culture,
-3060,Culture,
-3050,Culture,
-3040,Culture,
-3030,Culture,
-3020,Culture,
-3010,Culture,
-3000,Culture,
-2990,Culture,
-2980,Culture,
-2970,Culture,
-2960,Culture,
-2950,Culture,
-2940,Culture,
-2930,Culture,
-2920,Culture,
-2910,Culture,
-2900,Culture,
-2890,Culture,
-2880,Culture,
-2870,Culture,
-2860,Culture,
-2850,Culture,
-2840,Culture,
-2830,Culture,
-2820,Culture,
-2810,Culture,
-2800,Culture,
-2790,Culture,
-2780,Culture,
-2770,Culture,
-2760,Culture,
-2750,Culture,
-2740,Culture,
-2730,Culture,
-2720,Culture,
-2710,Culture,
-2700,Culture,
-2690,Culture,
-2680,Culture,
-2670,Culture,
-2660,Culture,
-2650,Culture,
-2640,Culture,
-2630,Culture,
-2620,Culture,
-2610,Culture,
-2600,Culture,
-2590,Culture,
-2580,Culture,
-2570,Culture,
-2560,Culture,
-2550,Culture,
-2540,Culture,
-2530,Culture,
-2520,Culture,
-2510,Culture,
-2500,Culture,
-2490,Culture,
-2480,Culture,
-2470,Culture,
-2460,Culture,
-2450,Culture,
-2440,Culture,
-2430,Culture,
-2420,Culture,
-2410,Culture,
-2400,Culture,
-2390,Culture,
-2380,Culture,
-2370,Culture,
-2360,Culture,
-2350,Culture,
-2340,Culture,
-2330,Culture,
-2320,Culture,
-2310,Culture,
-2300,Culture,1
-2290,Culture,1
-2280,Culture,1
-2270,Culture,1
-2260,Culture,1
-2250,Culture,1
-2240,Culture,1
-2230,Culture,1
-2220,Culture,1
-2210,Culture,1
-2200,Culture,1
-2190,Culture,1
-2180,Culture,1
-2170,Culture,1
-2160,Culture,1
-2150,Culture,1
-2140,Culture,1
-2130,Culture,1
-2120,Culture,2
-2110,Culture,2
-2100,Culture,2
-2090,Culture,2
-2080,Culture,2
-2070,Culture,2
-2060,Culture,2
-2050,Culture,2
-2040,Culture,2
-2030,Culture,2
-2020,Culture,2
-2010,Culture,2
-2000,Culture,2
-1990,Culture,2
-1980,Culture,2
-1970,Culture,2
-1960,Culture,2
-1950,Culture,2
-1940,Culture,2
-1930,Culture,2
-1920,Culture,2
-1910,Culture,2
-1900,Culture,2
-1890,Culture,2
-1880,Culture,2
-1870,Culture,2
-1860,Culture,2
-1850,Culture,2
-1840,Culture,2
-1830,Culture,2
-1820,Culture,2
-1810,Culture,2
-1800,Culture,2
-1790,Culture,2
-1780,Culture,2
-1770,Culture,2
-1760,Culture,2
-1750,Culture,2
-1740,Culture,2
-1730,Culture,2
-1720,Culture,2
-1710,Culture,2
-1700,Culture,2
-1690,Culture,2
-1680,Culture,2
-1670,Culture,2
-1660,Culture,2
-1650,Culture,2
-1640,Culture,2
-1630,Culture,2
-1620,Culture,2
-1610,Culture,2
-1600,Culture,2
-1590,Culture,2
-1580,Culture,2
-1570,Culture,2
-1560,Culture,2
-1550,Culture,2
-1540,Culture,2
-1530,Culture,2
-1520,Culture,2
-1510,Culture,2
-1500,Culture,2
-1490,Culture,2
-1480,Culture,2
-1470,Culture,2
-1460,Culture,2
-1450,Culture,2
-1440,Culture,2
-1430,Culture,2
-1420,Culture,2
-1410,Culture,2
-1400,Culture,2
-1390,Culture,2
-1380,Culture,2
-1370,Culture,2
-1360,Culture,2
-1350,Culture,2
-1340,Culture,3
-1330,Culture,3
-1320,Culture,3
-1310,Culture,3
-1300,Culture,3
-1290,Culture,3
-1280,Culture,3
-1270,Culture,3
-1260,Culture,3
-1250,Culture,3
-1240,Culture,3
-1230,Culture,3
-1220,Culture,3
-1210,Culture,3
-1200,Culture,3
-1190,Culture,3
-1180,Culture,3
-1170,Culture,3
-1160,Culture,3
-1150,Culture,3
-1140,Culture,3
-1130,Culture,3
-1120,Culture,3
-1110,Culture,3
-1100,Culture,3
-1090,Culture,3
-1080,Culture,3
-1070,Culture,3
-1060,Culture,3
-1050,Culture,3
-1040,Culture,3
-1030,Culture,3
-1020,Culture,3
-1010,Culture,3
-1000,Culture,3
-990,Culture,3
-980,Culture,3
-970,Culture,3
-960,Culture,3
-950,Culture,4
-940,Culture,4
-930,Culture,4
-920,Culture,4
-910,Culture,4
-900,Culture,4
-890,Culture,4
-880,Culture,4
-870,Culture,3
-860,Culture,3
-850,Culture,4
-840,Culture,4
-830,Culture,4
-820,Culture,4
-810,Culture,4
-800,Culture,5
-790,Culture,4
-780,Culture,4
-770,Culture,4
-760,Culture,4
-750,Culture,5
-740,Culture,5
-730,Culture,5
-720,Culture,6
-710,Culture,5
-700,Culture,6
-690,Culture,6
-680,Culture,7
-670,Culture,8
-660,Culture,8
-650,Culture,8
-640,Culture,8
-630,Culture,9
-620,Culture,10
-610,Culture,10
-600,Culture,17
-590,Culture,17
-580,Culture,18
-570,Culture,22
-560,Culture,24
-550,Culture,25
-540,Culture,25
-530,Culture,29
-520,Culture,30
-510,Culture,32
-500,Culture,48
-490,Culture,50
-480,Culture,53
-470,Culture,58
-460,Culture,55
-450,Culture,58
-440,Culture,58
-430,Culture,56
-420,Culture,54
-410,Culture,50
-400,Culture,55
-390,Culture,57
-380,Culture,57
-370,Culture,56
-360,Culture,57
-350,Culture,58
-340,Culture,56
-330,Culture,57
-320,Culture,61
-310,Culture,63
-300,Culture,73
-290,Culture,72
-280,Culture,74
-270,Culture,73
-260,Culture,69
-250,Culture,67
-240,Culture,65
-230,Culture,64
-220,Culture,65
-210,Culture,64
-200,Culture,71
-190,Culture,72
-180,Culture,72
-170,Culture,73
-160,Culture,70
-150,Culture,69
-140,Culture,69
-130,Culture,72
-120,Culture,73
-110,Culture,74
-100,Culture,83
-90,Culture,89
-80,Culture,92
-70,Culture,99
-60,Culture,99
-50,Culture,102
-40,Culture,97
-30,Culture,95
-20,Culture,94
-10,Culture,97
0,Culture,124
10,Culture,138
20,Culture,168
30,Culture,183
40,Culture,187
50,Culture,195
60,Culture,194
70,Culture,198
80,Culture,201
90,Culture,203
100,Culture,206
110,Culture,208
120,Culture,212
130,Culture,212
140,Culture,210
150,Culture,213
160,Culture,214
170,Culture,218
180,Culture,221
190,Culture,218
200,Culture,223
210,Culture,223
220,Culture,220
230,Culture,219
240,Culture,219
250,Culture,223
260,Culture,223
270,Culture,224
280,Culture,223
290,Culture,222
300,Culture,224
310,Culture,218
320,Culture,220
330,Culture,219
340,Culture,221
350,Culture,224
360,Culture,228
370,Culture,231
380,Culture,231
390,Culture,232
400,Culture,239
410,Culture,238
420,Culture,238
430,Culture,240
440,Culture,241
450,Culture,241
460,Culture,240
470,Culture,239
480,Culture,240
490,Culture,241
500,Culture,247
510,Culture,243
520,Culture,248
530,Culture,254
540,Culture,253
550,Culture,258
560,Culture,258
570,Culture,263
580,Culture,261
590,Culture,257
600,Culture,263
610,Culture,258
620,Culture,258
630,Culture,261
640,Culture,266
650,Culture,273
660,Culture,280
670,Culture,283
680,Culture,289
690,Culture,295
700,Culture,307
710,Culture,315
720,Culture,313
730,Culture,313
740,Culture,310
750,Culture,315
760,Culture,315
770,Culture,325
780,Culture,321
790,Culture,318
800,Culture,325
810,Culture,331
820,Culture,323
830,Culture,320
840,Culture,319
850,Culture,319
860,Culture,318
870,Culture,316
880,Culture,316
890,Culture,319
900,Culture,328
910,Culture,335
920,Culture,339
930,Culture,351
940,Culture,357
950,Culture,361
960,Culture,379
970,Culture,384
980,Culture,380
990,Culture,397
1000,Culture,407
1010,Culture,401
1020,Culture,400
1030,Culture,396
1040,Culture,395
1050,Culture,411
1060,Culture,404
1070,Culture,401
1080,Culture,402
1090,Culture,402
1100,Culture,425
1110,Culture,431
1120,Culture,442
1130,Culture,456
1140,Culture,478
1150,Culture,494
1160,Culture,511
1170,Culture,542
1180,Culture,557
1190,Culture,582
1200,Culture,626
1210,Culture,634
1220,Culture,645
1230,Culture,645
1240,Culture,648
1250,Culture,666
1260,Culture,661
1270,Culture,669
1280,Culture,691
1290,Culture,702
1300,Culture,719
1310,Culture,714
1320,Culture,729
1330,Culture,754
1340,Culture,763
1350,Culture,787
1360,Culture,781
1370,Culture,806
1380,Culture,834
